codigo;valor_causa;codprocesso;codempresa;data_inclusao;codusuario;unificador_processo;cod_processo_removido;migracao3;migracao;migracao2
59635;0;4667559;92577;2012-08-31 17:53:04;302720;;;;;
69225;0;4919609;92577;2012-11-25 16:26:41;301340;;;;;
69687;0;4891112;92577;2012-11-28 19:43:14;301340;;;;;
85185;0;5220171;92577;2013-04-01 13:39:11;301340;;;;;
95657;0;5993298;92577;2013-06-17 15:22:21;301340;;;;;
96987;0;6416027;92577;2013-06-27 14:14:33;301340;;;;;
107459;0;6991015;92577;2013-09-12 10:07:56;301340;;;;;
108061;0;6036793;92577;2013-09-17 13:37:53;301340;;;;;
109587;0;5812593;92577;2013-09-30 15:36:03;301340;;;;;
116867;0;4943836;92577;2013-12-02 10:09:58;301340;;;;;
116895;0;5386746;92577;2013-12-02 12:02:13;301340;;;;;
118659;0;6843680;92577;2013-12-17 10:22:07;301340;;;;;
76733;0;5380937;92577;2013-01-29 11:18:57;301340;;;;;
76761;0;4985985;92577;2013-01-29 12:00:43;301340;;;;;
78623;0;4928267;92577;2013-02-13 11:56:21;301340;;;;;
123083;0;7603297;92577;2014-01-27 19:56:23;301340;;;;;
59279;0;4650330;92577;2012-08-29 17:15:22;302720;;;;;
125463;0;7908399;92577;2014-02-13 10:52:41;301340;;;;;
126023;0;6713811;92577;2014-02-17 19:14:15;301340;;;;;
136271;0;7264109;92577;2014-05-06 13:19:57;301340;;;;;
97019;0;5391824;92577;2013-06-27 15:07:37;301340;;;;;
97033;0;6418655;92577;2013-06-27 15:44:04;301340;;;;;
62412;0;4487511;92577;2012-09-26 09:47:00;302720;;;;;
65394;0;4891595;92577;2012-10-20 16:09:09;301340;;;;;
76751;0;5123890;92577;2013-01-29 11:42:58;301340;;;;;
141535;0;8539193;92577;2014-06-11 18:16:57;301340;;;;;
141661;0;8832729;92577;2014-06-12 14:30:25;301340;;;;;
146309;0;8859812;92577;2014-07-18 14:15:28;301340;;;;;
148381;0;9083564;92577;2014-07-31 21:28:17;301340;;;;;
154527;0;9429031;92577;2014-09-08 17:55:45;301340;;;;;
108065;0;5221647;92577;2013-09-17 13:51:50;301340;;;;;
80402;0;5573930;92577;2013-02-27 12:59:48;301340;;;;;
95175;0;6217585;92577;2013-06-12 11:19:01;301340;;;;;
95651;0;5994088;92577;2013-06-17 15:07:07;301340;;;;;
96981;0;4487068;92577;2013-06-27 13:46:27;301340;;;;;
97023;0;5203269;92577;2013-06-27 15:18:51;301340;;;;;
166133;0;9396904;92577;2014-11-12 16:25:55;301340;;;;;
169899;0;10023534;92577;2014-12-03 09:44:26;301340;;;;;
170627;0;8962865;92577;2014-12-06 15:18:50;301340;;;;;
85190;0;5456969;92577;2013-04-01 13:48:02;301340;;;;;
89740;0;4578404;92577;2013-05-01 19:35:04;301340;;;;;
116885;0;6036611;92577;2013-12-02 11:25:29;301340;;;;;
95368;0;5224892;92577;2013-06-13 15:46:47;301340;;;;;
96992;0;4562609;92577;2013-06-27 14:19:51;301340;;;;;
97006;0;4855025;92577;2013-06-27 14:44:58;301340;;;;;
123297;0;6273385;92577;2014-01-28 18:10:27;301340;;;;;
123353;0;6996680;92577;2014-01-29 11:15:56;301340;;;;;
128491;0;7018024;92577;2014-03-10 11:09:43;301340;;;;;
128841;0;8049253;92577;2014-03-12 10:33:29;301340;;;;;
128869;0;7906571;92577;2014-03-12 11:58:10;301340;;;;;
113711;0;5730844;92577;2013-11-01 11:31:02;301340;;;;;
132411;0;8178034;92577;2014-04-04 12:22:55;301340;;;;;
116889;0;7042005;92577;2013-12-02 11:38:00;301340;;;;;
135113;0;8350133;92577;2014-04-25 09:55:20;302720;;;;;
135225;0;7932980;92577;2014-04-25 15:51:18;302720;;;;;
110250;0;4627532;92577;2013-10-04 13:25:44;301340;;;;;
136275;0;7838607;92577;2014-05-06 13:27:55;301340;;;;;
123301;0;7563376;92577;2014-01-28 18:32:27;301340;;;;;
124757;0;6811415;92577;2014-02-08 15:11:15;301340;;;;;
57944;0;4589630;92577;2012-08-17 19:30:29;302720;;;;;
58490;0;4501071;92577;2012-08-22 22:18:30;301340;;;;;
141637;0;8621046;92577;2014-06-12 13:16:31;301340;;;;;
146313;0;8661549;92577;2014-07-18 14:32:26;301340;;;;;
148371;0;9085316;92577;2014-07-31 20:42:32;301340;;;;;
123088;0;5404348;92577;2014-01-27 20:51:08;301340;;;;;
123298;0;7587032;92577;2014-01-28 18:18:32;301340;;;;;
132219;0;7503908;92577;2014-04-03 12:00:59;301340;;;;;
132415;0;8054748;92577;2014-04-04 12:36:37;301340;;;;;
149253;0;9124138;92577;2014-08-06 15:10:07;301340;;;;;
125468;0;5220250;92577;2014-02-13 11:01:37;301340;;;;;
151115;0;9262240;92577;2014-08-18 17:44:42;301340;;;;;
135145;0;8364888;92577;2014-04-25 10:57:04;302720;;;;;
60267;0;4487624;92577;2012-09-06 12:13:55;302720;;;;;
69087;0;5012642;92577;2012-11-22 23:10:56;301340;;;;;
69227;0;4891176;92577;2012-11-25 16:54:26;301340;;;;;
76788;0;5031711;92577;2013-01-29 12:54:25;301340;;;;;
80390;0;4754304;92577;2013-02-27 12:28:00;301340;;;;;
80400;0;4519874;92577;2013-02-27 12:53:53;301340;;;;;
128856;0;7774257;92577;2014-03-12 11:21:28;301340;;;;;
132412;0;8163102;92577;2014-04-04 12:28:35;301340;;;;;
136276;0;8428783;92577;2014-05-06 13:30:43;301340;;;;;
141022;0;8563092;92577;2014-06-09 11:38:55;301340;;;;;
146317;0;8859548;92577;2014-07-18 14:38:41;301340;;;;;
146569;0;8964212;92577;2014-07-21 14:49:34;301340;;;;;
148375;0;8959678;92577;2014-07-31 21:15:57;301340;;;;;
85188;0;5451453;92577;2013-04-01 13:43:07;301340;;;;;
88156;0;4891424;92577;2013-04-19 19:46:01;301340;;;;;
144144;0;8859739;92577;2014-07-02 17:22:11;301340;;;;;
148372;0;9178843;92577;2014-07-31 20:53:23;301340;;;;;
149254;0;7465958;92577;2014-08-06 15:13:16;301340;;;;;
76745;0;5381192;92577;2013-01-29 11:35:38;301340;;;;;
76759;0;5381472;92577;2013-01-29 11:55:53;301340;;;;;
167275;0;9259982;92577;2014-11-19 11:12:36;301340;;;;;
57768;0;4498716;92577;2012-08-16 23:56:25;301340;;;;;
109590;0;6485404;92577;2013-09-30 15:43:15;301340;;;;;
97003;0;4919609;92577;2013-06-27 14:36:35;301340;;;;;
112978;0;4814752;92577;2013-10-28 11:13:31;301340;;;;;
123086;0;5112683;92577;2014-01-27 20:24:02;301340;;;;;
124766;0;7034445;92577;2014-02-08 16:41:47;301340;;;;;
60862;0;4718097;92577;2012-09-12 14:12:26;302720;;;;;
125718;0;7775070;92577;2014-02-14 10:46:41;301340;;;;;
109916;0;7121371;92577;2013-10-02 14:50:37;301340;;;;;
110882;0;7172078;92577;2013-10-09 15:17:56;301340;;;;;
105851;0;6706611;92577;2013-08-30 17:05:10;301340;;;;;
105865;0;6915133;92577;2013-08-30 17:44:41;301340;;;;;
52885;0;4373245;92577;2012-07-09 23:12:02;301340;;;;;
56063;0;4511769;92577;2012-08-02 18:14:59;302720;;;;;
132410;0;8177984;92577;2014-04-04 12:07:36;301340;;;;;
135238;0;8496776;92577;2014-04-25 16:31:31;302720;;;;;
139844;0;5951959;92577;2014-05-29 17:09:04;301340;;;;;
139970;0;8183694;92577;2014-05-30 13:43:09;301340;;;;;
140768;0;5996810;92577;2014-06-05 18:09:49;301340;;;;;
76766;0;5381664;92577;2013-01-29 12:12:27;301340;;;;;
80406;0;4891463;92577;2013-02-27 13:12:17;301340;;;;;
112968;0;7297017;92577;2013-10-28 10:57:10;301340;;;;;
112982;0;4978369;92577;2013-10-28 11:19:14;301340;;;;;
117308;0;5951914;92577;2013-12-05 10:18:48;301340;;;;;
117966;0;7587032;92577;2013-12-10 16:51:35;301340;;;;;
124756;0;7950486;92577;2014-02-08 15:00:21;301340;;;;;
60739;0;4487241;92577;2012-09-11 16:25:01;302720;;;;;
69223;0;4891424;92577;2012-11-25 16:18:37;301340;;;;;
69685;0;5048312;92577;2012-11-28 19:31:44;301340;;;;;
116869;0;7338372;92577;2013-12-02 10:29:59;301340;;;;;
123281;0;7060391;92577;2014-01-28 16:52:11;301340;;;;;
124765;0;7034303;92577;2014-02-08 16:15:24;301340;;;;;
126025;0;5221728;92577;2014-02-17 19:34:37;301340;;;;;
126389;0;6538747;92577;2014-02-19 20:00:27;301340;;;;;
143974;0;8948263;92577;2014-07-02 09:52:43;301340;;;;;
71883;0;5195373;92577;2012-12-18 11:03:55;302720;;;;;
76783;0;4720666;92577;2013-01-29 12:48:13;301340;;;;;
96982;0;6415876;92577;2013-06-27 13:59:10;301340;;;;;
96996;0;6416222;92577;2013-06-27 14:30:38;301340;;;;;
97178;0;6424347;92577;2013-06-28 14:49:06;301340;;;;;
85183;0;5787336;92577;2013-04-01 13:32:30;301340;;;;;
128844;0;8047629;92577;2014-03-12 10:56:26;301340;;;;;
132414;0;7774067;92577;2014-04-04 12:32:10;301340;;;;;
137286;0;8181366;92577;2014-05-12 20:25:24;301340;;;;;
132423;0;5711359;92577;2014-04-04 13:06:37;301340;;;;;
161670;0;9429031;92577;2014-10-20 10:23:28;301340;;;;;
100566;0;6329146;92577;2013-07-22 23:25:11;301340;;;;;
164358;0;9797529;92577;2014-11-03 15:05:02;301340;;;;;
167270;0;9614307;92577;2014-11-19 10:59:19;301340;;;;;
108070;0;6730693;92577;2013-09-17 14:00:35;301340;;;;;
109918;0;6332777;92577;2013-10-02 14:54:32;301340;;;;;
105861;0;6713647;92577;2013-08-30 17:29:55;301340;;;;;
109921;0;7121610;92577;2013-10-02 15:01:40;301340;;;;;
57772;0;4578404;92577;2012-08-17 00:02:45;301340;;;;;
55712;0;4439403;92577;2012-07-31 17:24:22;302720;;;;;
69686;0;5048316;92577;2012-11-28 19:36:24;301340;;;;;
141640;0;8737319;92577;2014-06-12 13:26:41;301340;;;;;
63920;0;4784287;92577;2012-10-08 16:59:59;301340;;;;;
146554;0;8961455;92577;2014-07-21 14:26:40;301340;;;;;
175559;0;10195703;92577;2015-01-15 16:08:22;301340;;;;;
148374;0;8605028;92577;2014-07-31 21:07:49;301340;;;;;
69226;0;4627532;92577;2012-11-25 16:34:06;301340;;;;;
70192;0;5118509;92577;2012-12-03 21:01:06;301340;;;;;
141019;0;8676488;92577;2014-06-09 11:32:49;301340;;;;;
141649;0;8790662;92577;2014-06-12 13:49:01;301340;;;;;
141663;0;8739414;92577;2014-06-12 14:38:44;301340;;;;;
116893;0;6732742;92577;2013-12-02 11:54:04;301340;;;;;
117313;0;4753793;92577;2013-12-05 10:29:54;301340;;;;;
146311;0;8810014;92577;2014-07-18 14:26:23;301340;;;;;
146577;0;8754144;92577;2014-07-21 15:00:34;301340;;;;;
123361;0;7630646;92577;2014-01-29 11:44:26;301340;;;;;
61620;0;4580766;92577;2012-09-19 14:13:12;302720;;;;;
125475;0;7601716;92577;2014-02-13 11:25:27;301340;;;;;
117982;0;5665177;92577;2013-12-10 18:21:27;301340;;;;;
69222;0;4855025;92577;2012-11-25 16:03:41;301340;;;;;
126452;0;6713805;92577;2014-02-20 11:39:55;301340;;;;;
154520;0;9121077;92577;2014-09-08 17:38:27;301340;;;;;
96986;0;6415816;92577;2013-06-27 14:04:33;301340;;;;;
156573;0;9505873;92577;2014-09-20 17:50:08;301340;;;;;
133525;0;7057690;92577;2014-04-11 12:55:02;301340;;;;;
134463;0;8247397;92577;2014-04-18 17:26:43;301340;;;;;
136269;0;8562297;92577;2014-05-06 13:14:01;301340;;;;;
175566;0;10195795;92577;2015-01-15 16:21:49;301340;;;;;
128314;0;8143781;92577;2014-03-07 13:38:20;301340;;;;;
128874;0;4627639;92577;2014-03-12 12:16:35;301340;;;;;
80394;0;4574362;92577;2013-02-27 12:33:19;301340;;;;;
133088;0;8336888;92577;2014-04-09 11:11:15;301340;;;;;
105864;0;6386363;92577;2013-08-30 17:35:00;301340;;;;;
109908;0;7082661;92577;2013-10-02 14:38:26;301340;;;;;
146318;0;8859804;92577;2014-07-18 14:45:08;301340;;;;;
149244;0;9124249;92577;2014-08-06 15:02:16;301340;;;;;
117302;0;7126375;92577;2013-12-05 10:05:30;301340;;;;;
154522;0;8475744;92577;2014-09-08 17:44:05;301340;;;;;
123082;0;6757253;92577;2014-01-27 19:51:15;301340;;;;;
123292;0;6826729;92577;2014-01-28 17:41:26;301340;;;;;
146573;0;8960924;92577;2014-07-21 14:55:33;301340;;;;;
124762;0;7022878;92577;2014-02-08 15:49:34;301340;;;;;
123294;0;7750680;92577;2014-01-28 17:48:09;301340;;;;;
148379;0;8790680;92577;2014-07-31 21:25:08;301340;;;;;
149499;0;9128700;92577;2014-08-07 14:06:14;301340;;;;;
124764;0;7950531;92577;2014-02-08 16:01:59;301340;;;;;
126024;0;6732470;92577;2014-02-17 19:19:39;301340;;;;;
126388;0;6743267;92577;2014-02-19 19:51:18;301340;;;;;
153643;0;9396904;92577;2014-09-03 09:15:22;301340;;;;;
156272;0;9492284;92577;2014-09-18 12:03:27;301340;;;;;
128850;0;8048173;92577;2014-03-12 11:17:01;301340;;;;;
128864;0;7838535;92577;2014-03-12 11:45:15;301340;;;;;
128474;0;7809103;92577;2014-03-10 10:25:36;301340;;;;;
133078;0;7345701;92577;2014-04-09 10:51:21;301340;;;;;
133092;0;8337519;92577;2014-04-09 11:17:17;301340;;;;;
134870;0;8400917;92577;2014-04-23 19:58:37;301340;;;;;
135220;0;8358131;92577;2014-04-25 15:30:37;302720;;;;;
132422;0;6838342;92577;2014-04-04 13:02:49;301340;;;;;
133094;0;8183691;92577;2014-04-09 11:21:30;301340;;;;;
134872;0;8183618;92577;2014-04-23 20:04:31;301340;;;;;
162197;0;8819704;92577;2014-10-22 11:34:26;302720;;;;;
135110;0;8349382;92577;2014-04-25 09:45:37;302720;;;;;
136272;0;7951093;92577;2014-05-06 13:23:40;301340;;;;;
141646;0;8740857;92577;2014-06-12 13:40:55;301340;;;;;
163261;0;9767628;92577;2014-10-27 17:08:51;301340;;;;;
167279;0;9938547;92577;2014-11-19 11:25:25;301340;;;;;
105860;0;6273160;92577;2013-08-30 17:23:44;301340;;;;;
109920;0;7121563;92577;2013-10-02 14:59:23;301340;;;;;
110886;0;5613750;92577;2013-10-09 15:39:56;301340;;;;;
111404;0;5528389;92577;2013-10-15 11:55:21;301340;;;;;
66249;0;4502183;92577;2012-10-26 10:51:58;301340;;;;;
70057;0;5114642;92577;2012-12-03 11:26:33;302720;;;;;
116878;0;6943200;92577;2013-12-02 11:10:55;301340;;;;;
117984;0;5754241;92577;2013-12-10 18:24:49;301340;;;;;
123080;0;7493775;92577;2014-01-27 19:32:50;301340;;;;;
123290;0;6408174;92577;2014-01-28 17:32:53;301340;;;;;
124760;0;7025485;92577;2014-02-08 15:32:43;301340;;;;;
146322;0;7554120;92577;2014-07-18 14:57:04;301340;;;;;
141662;0;7240071;92577;2014-06-12 14:33:13;301340;;;;;
154526;0;9121065;92577;2014-09-08 17:52:53;301340;;;;;
146562;0;8959648;92577;2014-07-21 14:36:17;301340;;;;;
148382;0;8840659;92577;2014-07-31 21:31:34;301340;;;;;
151308;0;8787971;92577;2014-08-19 16:33:34;301340;;;;;
152120;0;8155309;92577;2014-08-25 10:51:22;301340;;;;;
128484;0;7034556;92577;2014-03-10 10:51:23;301340;;;;;
128848;0;8048040;92577;2014-03-12 11:12:49;301340;;;;;
128862;0;5220987;92577;2014-03-12 11:34:29;301340;;;;;
155898;0;9470114;92577;2014-09-16 16:02:15;301340;;;;;
156724;0;8241627;92577;2014-09-22 14:34:58;302720;;;;;
141028;0;8706041;92577;2014-06-09 11:46:59;301340;;;;;
166412;0;9909245;92577;2014-11-13 16:49:05;301340;;;;;
146152;0;6273457;92577;2014-07-17 14:33:20;301340;;;;;
149260;0;8790370;92577;2014-08-06 15:20:32;301340;;;;;
96307;0;6382049;92577;2013-06-21 12:18:23;301340;;;;;
151304;0;8268328;92577;2014-08-19 16:26:58;301340;;;;;
168696;0;9632714;92577;2014-11-26 09:39:40;301340;;;;;
108067;0;6878681;92577;2013-09-17 13:56:27;301340;;;;;
167278;0;9938457;92577;2014-11-19 11:19:56;301340;;;;;
117321;0;4627663;92577;2013-12-05 10:42:54;301340;;;;;
127555;0;8118598;92577;2014-02-27 18:47:55;301340;;;;;
128507;0;6546561;92577;2014-03-10 11:55:15;301340;;;;;
128871;0;6844145;92577;2014-03-12 12:09:01;301340;;;;;
133099;0;8323405;92577;2014-04-09 11:25:22;301340;;;;;
57769;0;4439403;92577;2012-08-16 23:58:57;301340;;;;;
148373;0;8859809;92577;2014-07-31 21:00:52;301340;;;;;
61843;0;4759482;92577;2012-09-20 20:06:31;301340;;;;;
69683;0;4486939;92577;2012-11-28 19:22:53;301340;;;;;
166167;0;9848800;92577;2014-11-12 16:59:44;301340;;;;;
80407;0;5574077;92577;2013-02-27 13:19:09;301340;;;;;
85097;0;5222886;92577;2013-03-29 14:24:50;301340;;;;;
95317;0;5711338;92577;2013-06-13 11:48:40;301340;;;;;
109905;0;6376365;92577;2013-10-02 14:27:18;301340;;;;;
109919;0;6405856;92577;2013-10-02 14:56:52;301340;;;;;
110885;0;5460069;92577;2013-10-09 15:33:53;301340;;;;;
113713;0;5224606;92577;2013-11-01 11:39:06;301340;;;;;
128861;0;8056776;92577;2014-03-12 11:28:25;301340;;;;;
132417;0;7992404;92577;2014-04-04 12:42:39;301340;;;;;
133481;0;8175880;92577;2014-04-11 09:30:53;301340;;;;;
141013;0;8541153;92577;2014-06-09 11:25:15;301340;;;;;
141643;0;8704403;92577;2014-06-12 13:34:13;301340;;;;;
146851;0;9109311;92577;2014-07-22 17:06:38;301340;;;;;
148377;0;8740875;92577;2014-07-31 21:20:19;301340;;;;;
154523;0;8293254;92577;2014-09-08 17:48:19;301340;;;;;
155895;0;9364468;92577;2014-09-16 15:39:54;301340;;;;;
166591;0;9915631;92577;2014-11-14 14:33:22;301340;;;;;
176053;0;8118598;92577;2015-01-19 16:36:11;301340;;;;;
178219;0;9660955;92577;2015-01-31 13:50:02;302720;;;;;
178220;0;8583437;92577;2015-01-31 14:09:30;302720;;;;;
178221;0;8665379;92577;2015-01-31 14:15:29;302720;;;;;
178222;0;9120396;92577;2015-01-31 14:22:13;302720;;;;;
178223;0;9864361;92577;2015-01-31 14:39:43;302720;;;;;
178224;0;9220420;92577;2015-01-31 14:47:13;302720;;;;;
178225;0;10303858;92577;2015-01-31 16:12:13;302720;;;;;
178227;0;9660955;92577;2015-02-01 14:55:08;301340;;;;;
178228;0;9864361;92577;2015-02-01 15:00:05;301340;;;;;
178229;0;9120396;92577;2015-02-01 15:02:31;301340;;;;;
178230;0;8665379;92577;2015-02-01 15:06:31;301340;;;;;
178231;0;8583437;92577;2015-02-01 15:08:36;301340;;;;;
178232;0;10303858;92577;2015-02-01 15:10:35;301340;;;;;
178233;0;8582546;92577;2015-02-01 15:13:27;301340;;;;;
178234;0;9459501;92577;2015-02-01 15:15:46;301340;;;;;
178235;0;8659356;92577;2015-02-01 15:21:08;301340;;;;;
178236;0;8859680;92577;2015-02-01 15:31:56;301340;;;;;
178237;0;9220420;92577;2015-02-01 15:34:34;301340;;;;;
189578;0;5118509;92577;2015-04-05 14:43:24;301340;;;;;
187733;0;10374875;92577;2015-03-25 13:38:02;302720;;;;;
187737;0;10162178;92577;2015-03-25 13:51:48;302720;;;;;
187743;0;10280872;92577;2015-03-25 14:03:46;302720;;;;;
187749;0;10231361;92577;2015-03-25 14:23:46;302720;;;;;
187756;0;10072958;92577;2015-03-25 14:44:25;302720;;;;;
189579;0;10720182;92577;2015-04-05 14:52:54;301340;;;;;
180367;0;10116065;92577;2015-02-12 11:11:48;301340;;;;;
180372;0;9949228;92577;2015-02-12 11:20:26;301340;;;;;
182406;0;9604841;92577;2015-02-25 10:57:44;302720;;;;;
182411;0;9605415;92577;2015-02-25 11:07:15;302720;;;;;
182426;0;9488221;92577;2015-02-25 11:23:10;302720;;;;;
182431;0;9519140;92577;2015-02-25 11:29:38;302720;;;;;
184612;0;10526774;92577;2015-03-09 17:22:47;301340;;;;;
190049;0;9743674;92577;2015-04-08 11:40:15;302720;;;;;
190051;0;9630697;92577;2015-04-08 11:45:56;302720;;;;;
190060;0;10192614;92577;2015-04-08 12:19:35;302720;;;;;
191053;0;10789137;92577;2015-04-14 09:37:37;301340;;;;;
192989;0;6996680;92577;2015-04-27 11:21:13;301340;;;;;
195048;0;10991551;92577;2015-05-08 14:34:15;301340;;;;;
202745;0;11309058;92577;2015-06-17 17:56:42;301340;;;;;
203232;0;11242431;92577;2015-06-19 16:48:04;302720;;;;;
205427;0;10434642;92577;2015-07-01 18:44:56;301340;;;;;
211126;0;11369119;92577;2015-07-29 14:18:02;302720;;;;;
211139;0;11462305;92577;2015-07-29 14:36:35;302720;;;;;
211131;0;11368096;92577;2015-07-29 14:27:55;302720;;;;;
208392;0;11582252;92577;2015-07-16 12:08:50;301340;;;;;
211627;0;11750834;92577;2015-07-31 11:14:34;301340;;;;;
211106;0;11244656;92577;2015-07-29 13:44:16;302720;;;;;
211112;0;11735992;92577;2015-07-29 13:57:40;302720;;;;;
211118;0;11099170;92577;2015-07-29 14:07:37;302720;;;;;
212241;0;9983526;92577;2015-08-04 14:08:45;302720;;;;;
222288;0;10475264;92577;2015-09-28 14:01:03;302720;;;;;
224578;0;12000632;92577;2015-10-07 17:41:22;302720;;;;;
224581;0;12042035;92577;2015-10-07 17:45:02;302720;;;;;
225372;0;11368084;92577;2015-10-13 17:43:42;302720;;;;;
225376;0;11462609;92577;2015-10-13 18:07:06;302720;;;;;
238175;0;12789795;92577;2015-12-23 11:46:06;301340;;;;;
233529;0;12635520;92577;2015-11-30 13:31:35;301340;;;;;
238595;0;9128700;92577;2016-01-04 10:53:01;301340;;;;;
236719;0;11241825;92577;2015-12-15 15:32:32;302720;;;;;
237306;0;11881454;92577;2015-12-17 16:05:21;302720;;;;;
242796;0;12065879;92577;2016-01-25 14:24:58;302720;;;;;
276715;0;14041595;92577;2016-07-19 19:49:48;301340;;;;;
278268;0;14110582;92577;2016-07-28 10:05:07;301340;;;;;
263598;0;12310496;92577;2016-05-10 10:59:57;301340;;;;;
312914;0;15108001;92577;2017-02-03 09:01:11;301340;;;;;
332451;0;13654770;92577;2017-05-01 12:05:31;302720;;;;;
328630;0;15557926;92577;2017-04-08 07:58:04;301340;;;;;
335067;0;14802449;92577;2017-05-15 13:06:15;559945;;;;;
335210;0;15750422;92577;2017-05-15 18:36:37;301340;;;;;
360581;0;14970980;92577;2017-09-19 13:51:23;559945;;;;;
100041016;0;100803089;92577;2018-06-08 16:13:02;559945;;;;;
100069819;0;100852549;92577;2018-09-24 15:45:45;559945;;;;;
100063508;0;100479403;92577;2018-08-30 10:52:35;559945;;;;;
100121793;10000.00;101596479;92577;2019-04-09 09:42:34;559945;;;;;
100122909;0;101596479;92577;2019-04-11 15:46:31;559945;;;;;
100153903;0;102434772;92577;2019-07-25 17:51:37;347394;;;;;
100165553;0;102799170;92577;2019-08-29 17:54:30;347394;;;;;
100185044;164982.63;101983561;92577;2019-11-04 16:05:19;559945;;;;;
100303123;0;105299948;92577;2021-02-22 18:06:16;347394;;;;;
100325696;0;104999364;92577;2021-05-13 16:43:16;347394;;;;;
100341760;0;104944526;92577;2021-07-05 16:02:23;347394;;;;;
100348841;0;106032086;92577;2021-07-27 14:54:59;347394;;;;;
100367311;0;105942305;92577;2021-09-23 09:28:20;347394;;;;;
